SUPPLIER,TYPE,DESCRIPTION,PARTNUMBER,PRICE,NOTES
NOTIFIER 2025,,Power Supply 12VDC,LT-ACC-PWR-12,196.84,
NOTIFIER 2025,,Power Supply 48VDC,LT-ACC-PWR-48,234.32,
NOTIFIER 2025,,Spare 4xTerminators 1xScrew Adapter,LT-ACC-SAK,107.45,
NOTIFIER 2025,,Ctr Small LT Gen 3,LT-CTR-SML,2030.35,
NOTIFIER 2025,,Ctr Small DIN-Mount Kit LT Gen 3,LT-CTR-SML-DMK,39.65,
NOTIFIER 2025,,Sensor Monitoring LT Gen 3,LT-SEN-M3,601.33,
NOTIFIER 2025,,Sensor Reference LT Gen 3,LT-SEN-R3,601.33,
NOTIFIER 2025,,Li-ion tamer MOS,LT-SEN-MOS,1011.99,
NOTIFIER 2025,,Li-ion Tamer Sensor Legacy,LT-SEN-M-L,1346.48,
NOTIFIER 2025,,Li-ion Tamer Interface Module - UL,LT-SEN-IM-UL,255.95,
NOTIFIER 2025,,Li-ion Tamer Gen 3 Demo Kit,LT-DKT,7271.28,
NOTIFIER 2025,,"FP,KIT,QE20,MODULE MTG FRAME C/W MTG",FP1186,270.71,
NOTIFIER 2025,,"FP,KIT,QE20,5 MODULE SUPPORT KIT,15U",FP1187,387.91,
NOTIFIER 2025,,"FP,KIT,QE20,9 MODULE SUPPORT KIT,27U",FP1189,537.37,
NOTIFIER 2025,,"FP, QE20 CONTROLLER MODULE",FP2000,2041.9,
NOTIFIER 2025,,"FP,QE20 PSE,24V,27A,SPARE",FP2001,2053.12,
NOTIFIER 2025,,"FP,QE20 RELAY OUTPUT MODULE",FP2002,2712.32,
NOTIFIER 2025,,"FP,QE20 BASIC WIP MODULE",FP2003,1217.78,
NOTIFIER 2025,,"FP, QE20 RS485 NETWORK MODULE",FP2005,1415.42,
NOTIFIER 2025,,"FP, QE20 AMP MODULE, QUAD 25W",FP2006,1628.16,
NOTIFIER 2025,,"FP,QE20 AMP MODULE,QUAD 60W,C/W RELAYS",FP2007,2177.26,
NOTIFIER 2025,,"FP, QE20 AMP MODULE, DUAL 120W",FP2008,1923.75,
NOTIFIER 2025,,"FP, QE20 AMP MODULE, 240W",FP2009,2090.9,
NOTIFIER 2025,,"FP, QE20 USER INTERFACE MODULE",FP2010,1960.07,
NOTIFIER 2025,,"FP, QE20 8Z/8WIP EXTENDER MODULE",FP2011,1071.85,
NOTIFIER 2025,,"FP, QE20 16 WIP EXTENDER MODULE",FP2012,782.61,
NOTIFIER 2025,,"FP, QE20 16 ZONE EXTENDER MODULE",FP2013,795.29,
NOTIFIER 2025,,"FP, QE20 WIP TRAY",FP2014,723.35,
NOTIFIER 2025,,"FP, QE20 EXTENDER MODULE BLANK",FP2015,166.36,
NOTIFIER 2025,,"FP, QE20 AMP MODULE, QUAD 60W, BASIC",FP2018,2787.86,
NOTIFIER 2025,,"FP, QE20 RACK CAB COOLING MODULES",FP2019,2585.67,
NOTIFIER 2025,,"FP,QE20 19"" RACK CAB BATTERY SHELF",FP2020,276.25,
NOTIFIER 2025,,"FP,QE20,8 ZONE EXPANSION BRD,C/W LOOM & MTG",FP2021,529.48,
NOTIFIER 2025,,"FP,QE20,8 WIP EXPANSION BRD,C/W LOOM & MTG",FP2022,504.76,
NOTIFIER 2025,,"FP,QE20,2 x 4 WAY 100V SPLITTER MODULE",FP2023,1137.91,
NOTIFIER 2025,,"FP,QE20,FIBRE IP NETWORKING KIT,SINGLE MODE",FP2024,10022.83,
NOTIFIER 2025,,"FP,QE20,FIBRE IP NETWORKING KIT,MULTI MODE",FP2025,7784.98,
NOTIFIER 2025,,"FP,QE20 SECP CONTROLLER MODULE C/W MTG",FP2026,2150.47,
NOTIFIER 2025,,"FP,QE20 FUSED POWER DIST BRD & LOOMS,C/W MTG",FP2027,387.43,
NOTIFIER 2025,,"FP,QE20 COOLING FAN FILTER,5 PACK",FP2028,383.35,
NOTIFIER 2025,,"FP2029 QE20 GP MOUNTING BRACKET,1 MODULE WIDE",FP2029,206.38,
NOTIFIER 2025,,Loom 600mm 4100 PDI POWER/ 'COMM PDI TO PDI BAY - QE20 4-Way QBus / UBus ,734-008,35.53,
NOTIFIER 2025,,Loom 840mm 4100 POWER / COMM HARNESS - QE20 4-Way QBus / UBus ,733-672,33.46,
NOTIFIER 2025,,Loom 2400mm 4100 PDI Cabinet to PDI Cabinet Harness - QE20 4-Way QBus / UBus ,734-075,193.05,
NOTIFIER 2025,,"LOOM,1993-27,QE20,BATT/PSE",LM0650,142.87,
NOTIFIER 2025,,"LOOM,1993-32,QE20,DC ",LM0655,92.51,
NOTIFIER 2025,,"LOOM,1993-33,QE20,DC ",LM0656,120.39,
NOTIFIER 2025,,"LOOM,ETHERNET,RJ45,UTP ",LM0660,13.97,
NOTIFIER 2025,,"LOOM,ETHERNET,RJ45,UTP ",LM0669,12.44,
NOTIFIER 2025,,NI-2012-01-PSI/ST&ALONE,ASY-02-060,267.92,
NOTIFIER 2025,,Supervision board to suit 2600/2800,IFS-1125C,13.74,
NOTIFIER 2025,,BP-1-Annunciator Blank Spare Plate in APO Grey (for CFP-16 or AFP-3030),MW-03-048,18.67,
NOTIFIER 2025,,"3U Blank Spare Plate MW in APO Grey for 19"" Vesda rack (for AFP-3030) when only 1 Vesda rack is in use",10032-AUS,95.74,
NOTIFIER 2025,,"4U Blank Spare Plate MW in APO Grey for 19"" Vesda rack (for AFP-3030)",10033-AUS,107.51,
NOTIFIER 2025,,ADP-VES-VESDA Adapter Bracket (2 units need to be ordered),MW-03-028,39.78,
NOTIFIER 2025,,"Power Distribution Module, 8x fused outputs, Door Holder Output",PDM,183.97,
NOTIFIER 2025,,003 Key Lock for CAB650/CAB900 inc 1 key,452-AUS,36.82,
NOTIFIER 2025,,"Spare CAM-LOCK 31-28 - for U-series, requires 452 key lock",60718-AUS,41.24,
NOTIFIER 2025,,3V Battery for SWIFT (Panasonic CR123A) ,BATT3,13.77,
NOTIFIER 2025,,"10 Pack of Base Sounder Lids, white",SC085,30.94,
NOTIFIER 2025,,"10 Pack of Base sounder lids, off-white to suit NFX sounder strobes",IBS-LIDDW,168.37,
NOTIFIER 2025,,Photoelectric Plug-in detector used with D4120,2D51,91.8,
NOTIFIER 2025,,LCS Switch Replacement Kit Amber - 16.0mm ,LCS-SW,95.23,
NOTIFIER 2025,,2.6 Amp 24V power supply to suit NPS-x  (non-battery backed) ,PBC-70,112.91,
NOTIFIER 2025,,PS DC27V 150W with terminal cover  ,RSP-150-27,220.42,
NOTIFIER 2025,,PS DC27V 320W with terminal cover  ,RSP-320-27,440.81,
NOTIFIER 2025,,PSU 24V 14A power supply enclosed,HRP-300-24,321.23,
NOTIFIER 2025,,Spare Fuse holder w/Terminal - 250V 8Amp for PSU,P87-6100-052,14.76,
NOTIFIER 2025,,100W 24V DC-DC converter,GEN-41-005,267.92,
NOTIFIER 2025,,2.7A Stand-alone PSU on slim-line chassis (with relays),NPS-2S,-,
NOTIFIER 2025,,NPS-Display Display Kit for NPS-xxx,NPS-DISP,97.68,
NOTIFIER 2025,,CPU & Termination Board Replacement,CFP-16/CPU,588.57,
NOTIFIER 2025,,Keypad (AUS) & display,CFP-16/KEY,411.84,
NOTIFIER 2025,,Replacement NPS-11 Power Supply To suit CFP-16 and AFP-3030,NPS-11CHS,353.43,
NOTIFIER 2025,,Replacement NPS-5 Power Supply To suit CFP-16 and AFP-3030,NPS-5CHS,294.54,
NOTIFIER 2025,,Keypad Membrane,KEYPAD/00,313.21,
NOTIFIER 2025,,CPU and LCD complete  for AFP-2800 CPU,AFP-2800/CPU,1093.2,
NOTIFIER 2025,,AFP-2800 Upload/Download Cable,UDC/00,13.4,
NOTIFIER 2025,,Power Supply Interface (PSI) Kit  to suit IFS-2600 + AFP-2800 + BC-200,PSI-AUS,344.11,
NOTIFIER 2025,,"Smoke Control Station with 8 switches (3positions), 32 x LEDs, AS1668",SCS-8AU,920.89,
NOTIFIER 2025,,Custom mimic module 24x inputs & outputs,SCS-8LAU,-,
NOTIFIER 2025,,"Annunciator Module with 16 push buttons, 16 Red/Amber LED's",ACM-16ATAUS/00,676.43,
NOTIFIER 2025,,"Annunciator Module with 32 Red LEDs E.g. Flow switches, monitors etc.",ACM-32AAU,552.74,
NOTIFIER 2025,,LED Driver card for Graphic Mimic requires LDM-R32 for relays,LDM-32/00,552.74,
NOTIFIER 2025,,Loop Interface Module to suit AFP-2800,LIM,430.51,
NOTIFIER 2025,,RIB-16-0670-Ribbon Cable To suit LIM-LCM on AFP-2800,10203-AUS,42.23,
NOTIFIER 2025,,RIB-40-0110-Ribbon Cable To suit FIM-LIM on AFP-2800,10202-AUS,62.36,
NOTIFIER 2025,,Network Interface Module For NIM replacement and network upgrade,NIM,430.51,
NOTIFIER 2025,,Termination Board Replacement Kit to suit AFP-2800,FIM,1091.16,
NOTIFIER 2025,,"USB to RS232 Converter to suit AFP-2800, VESDA. Win7 Compatible",USB-AUS,54.98,
NOTIFIER 2025,,8 way programmable relay expansion kit to suit CAB650/CAB900 c/w cables etc,RLY8,168.88,
NOTIFIER 2025,,"AFP-2800 LCM Update Kit (Flash, Extractor and document)",2800_LCM_UPGRD_KIT,34.68,
NOTIFIER 2025,,"AFP-2800 NCM Upgrade Kit (Flash, Extractor & Doc)",2800-NCM-UPG-KIT,52.6,
NOTIFIER 2025,,CPU2-3030AU CPU Assembly to Suit AFP-3030 (AUS),CPU2-3030AU,1062.13,
NOTIFIER 2025,,"DISP-3030AU Keypad Replacement Kit, to suit AFP-3030/NCA-2",DISP-3030AU,524.21,
NOTIFIER 2025,,3V Lithium Battery Kit for CPU,RLB-CFP-16,21.83,
NOTIFIER 2025,,RIB-10-1640-10 way x 1600mm to suit PSI in 40U Cab,11874-AUS,16.73,
NOTIFIER 2025,,Cable-4 way Power Cable PSI in 40U Cab,11876-AUS,16.73,
NOTIFIER 2025,,"USB programming lead 3m, USB type A to type B",USB3,16.25,
NOTIFIER 2025,,CPU2BATTL-3V Lithium Battery Kit,CPU2BATTL,13.97,
NOTIFIER 2025,,"DA Display c/w PA microphone - CAB, with metalwork to suit CAB650/CAB900",DA-DISPB,150.72,
NOTIFIER 2025,,"DA Display without microphone - U-series, with metal work to suit 18U/28U/40U",DA-DISPC,115.87,
NOTIFIER 2025,,"PA Selector Module with metalworks, 4 zone PA-mic control for DA-BOWS",DA-DISPD,375.05,
NOTIFIER 2025,,"CB style Mic , suits older BOWs for use with multiple DA's (preamp only)",CB-MIC,58.92,
NOTIFIER 2025,,Desktop Paging Console 1 Zone to suit DA-BOWS,MIC/1D,787.88,
NOTIFIER 2025,,Desktop Paging Console 4 Zones to suit DA-BOWS,MIC/4D,919.43,
NOTIFIER 2025,,I2000 FIP/BGA Master upgrade kit ,FP1068,1225.63,
NOTIFIER 2025,,I2000 FIP/BGA Extender upgrade kit ,FP1069,554.4,
NOTIFIER 2025,,I2000 Strobe Master upgrade kit 8 Strobe/16 relay module (PA0697 kit),FP1070,1628.16,
NOTIFIER 2025,,I2000 SPIF module upgrade kit ,FP1071,1184.46,
NOTIFIER 2025,,I2000 ECM module + looms upgrade kit  (no software) ,FP1072,2203.37,
NOTIFIER 2025,,I2000 WIP Slave + term.board  upgrade  kit,FP1073,1563.35,
NOTIFIER 2025,,I2000 4x 10W Amp + transformer upgrade  kit,FP1077-AUS,2072.81,
NOTIFIER 2025,,I2000 4x 25W Amp + transformer upgrade  kit,FP1078,2771.95,
NOTIFIER 2025,,I2000 2x 25W Amp + transformer upgrade  kit,FP1076,2403.46,
NOTIFIER 2025,,I2000 2x 50W Amp + transformer upgrade  kit,FP1075,1499.98,
NOTIFIER 2025,,I2000 100W Amp + transformer upgrade kit ,FP1074,1500.45,
NOTIFIER 2025,,I2000 200W Amp + transformer upgrade kit (Amp. and transf),FP1079,2532.12,
NOTIFIER 2025,,I2000 8Z displ. extender + looms upgrade   kit,FP1083,1302.27,
NOTIFIER 2025,,"I2000 Isolation Amplifier, 100V 60W",FP1135,1771.5,
NOTIFIER 2025,,30 zone paging console to suit I-2000,FP0732,2466.33,
NOTIFIER 2025,,I2000 Splitter Mod. 4x100V Spk.outputs,FP1118,355.91,
NOTIFIER 2025,,40U Black texture,ME0530,5705.23,
NOTIFIER 2025,,I2000 2 Zone Membrane & metalwork,ME0381,478.72,
NOTIFIER 2025,,I2000 8 Zone Membrane & metalwork,ME0382,683.43,
NOTIFIER 2025,,"I2000 Cardframe, 699-038 ",ME0200,869.45,
NOTIFIER 2025,,"I2000 Control Panel ECP, 3 WIP, Zone 699-093",ME0207,3793.21,
NOTIFIER 2025,,I2000 Micr. DIN plug for old ECP9002  Noise Canceling  Mic. (CB type),ME0213,300.87,
NOTIFIER 2025,,I2000 Auto/Manual/Isolate Keyswitch  Key Switch 003,ME0297,139.09,
NOTIFIER 2025,,I2000 Paging Console PCB Assy 1929-1 ,PA0484,1550.13,
NOTIFIER 2025,,Transformer Mod. 2 x 50W,PA0691,1034.96,
NOTIFIER 2025,,WIP slave Mod. (common 0V version),PA0642,2457.21,
NOTIFIER 2025,,I2000 Evac Control Panel 3WIP/Zone  (PCB Assy ECP9702-2),PA0643,2308.84,
NOTIFIER 2025,,I2000 Audio Line Isolation Module (DIN)   ALIN9706,PA0646,468.32,
NOTIFIER 2025,,Amplifier 4x10W or 2x25W,PA0650,1181.02,
NOTIFIER 2025,,I-2000-Fa2027,FA2027,633.05,
NOTIFIER 2025,,I-2000-FA2029,FA2029,1049.21,
NOTIFIER 2025,,I2000 Amp 200 Kit (Pair inc. loom) (Amplifier only No transformer),KT0519,1564.31,
NOTIFIER 2025,,I2000 200w Amplifier Card Module AMP2009  Amplifier 1 x 200w,PA0647,1564.31,
NOTIFIER 2025,,I2000 200w Transformer Module TRAN200 ,PA0648,980.12,
NOTIFIER 2025,,I2000 Signal Interface PCB Assy (DIN)  SE9004,PA0657,284.31,
NOTIFIER 2025,,I2000 Backplane PCB Assy BPLN9001 ,PA0660,761.6,
NOTIFIER 2025,,I2000 Mic.Pre-Amp PCB for remote Mic Microphone preamp,PA0688,426.22,
NOTIFIER 2025,,I2000 Multiplexer 16 sec Speech EMUX9601   (replaces PA0654),PA0758,1180.21,
NOTIFIER 2025,,I2000 Multiplexer 60 sec Speech EMUX9601 ,PA0759,1327.33,
NOTIFIER 2025,,I2000 WIP Termination PCB Assy  DIN  WTRM + B3322000 ,PA0916,691.59,
NOTIFIER 2025,,I2000 Shelf 1u 310mm deep ,ME0259,147.12,
NOTIFIER 2025,,I2000 PS2412 12 Amp 24Volt Power Supply   2U Rack Mount,ME0333,3515.53,
NOTIFIER 2025,,I2000 PS2406 6 Amp 24 Volt Power Supply  2U Rack Mount,ME0331,2325.87,
NOTIFIER 2025,,"I2000 PS2406 6 Amp 24 Volt Power Supply  , Brick",ME0330,2297.04,
NOTIFIER 2025,,"I2000 Gooseneck microphone & bracket to suit I-2000 paging console, DM-521 B",SU0168,384.1,
NOTIFIER 2025,,I2000 Desk Mount Paging Mic. with PTT  Sw PM600D,SU0169,606.9,
NOTIFIER 2025,,I2000 CB-type Microphone ,ME0290,133.42,
JCI 2025,,F3200 - Options,,,
JCI 2025,,Display Extender Kit Additional to FZ3031,FP0475,375.5000445,
JCI 2025,,F3200 8 Zone Input Expansion Kit,FP0553,715.085328,
JCI 2025,,F3200 8 Relay Expansion Kit,FP0554,725.550231,
JCI 2025,,F3200 AS1603 Network Upgrade Kit,FP0704,1703.818661,
JCI 2025,,F3200 AS4428 Network Upgrade Kit V3.00,FP0795,1160.744441,
JCI 2025,,VIGILANT NT Brigade Kit - Grey C/W Harness and 12V Power Supply,FP1092,0,
JCI 2025,,Display Extender Kit - First 16 Zone LED's,FZ3031,309.721824,
JCI 2025,,F3200 Cardframe Upgrade Kit,KT0072,270.87558,
JCI 2025,,"Kit, ASE, 3U 19"" Rack Mounting Front Panel",KT0199,177.4038525,
JCI 2025,,"Kit, F3200 FIP, AS1603.4 to AS4428.1 Conversion incl controller & keyboard",KT0274,2159.204476,
JCI 2025,,"19"" Rack LED Display Door (64 Zone)",ME0060,357.2233125,
JCI 2025,,F3200/NDU UPGRADE KIT TO V5.XX SOFTWARE(needs cont 1931-111b or higher,KT0429,260.590824,
JCI 2025,,F3200 CMOS/TTL RS232 ADAPT BD PCB 1931-110 ,PA0868,265.0863105,
JCI 2025,,F3200 CMOS/TTL COMMS SPLITTER PCB 1931-118,PA0878,451.0673078,
JCI 2025,,F3200 AS4428 PSU UPGRADE KIT 3A TO 6A 1931-44,FP0779,1400.2335,
JCI 2025,,F3200 - AS1603.4 Spares,,,
JCI 2025,,FAB 1931-1-1 F3200 Membrane Keypad Vigilant,FA1223,359.7945015,
JCI 2025,,Cable Prog Port to 9 pin Serial 1888-58(F4000/MX4428 Programming Lead),LM0041,105.0338895,
JCI 2025,,Cable Prog Port to 25 Pin Serial 1888-62,LM0042,141.9177518,
JCI 2025,,F3200 4U Hinged Control Panel Assembly (inc. PCB) (OBSOLETE When Stock runs out UPGRADE PANEL),ME0063,2036.283426,
JCI 2025,,F3200 PCB 1931-27 Remote I/F Board,PA0703,265.8752648,
JCI 2025,,"PCB Assy, 1931-2, F3200 MAF/PSU 6A",PA0809,1361.649288,
JCI 2025,,F3200 4U Metalwork Chassis & Membrane Only,ME0091,766.1164463,
JCI 2025,,F3200 - AS4428 Spares,,,
JCI 2025,,Program Lead 9 pin(F3200/F4000/MX4428),LM0041,105.0338895,
JCI 2025,,Cable Prog Port to 25 Pin Serial 1888-62,LM0042,141.9177518,
JCI 2025,,F3200 AS4428.1 4U Hinged Control Panel Assembly (inc. PCB),ME0098,2292.321444,
JCI 2025,,"PCB Assy, 1931-3-3, F3200 AS4428.1 MAF/PSU 3A",PA0873,1147.831176,
JCI 2025,,"PCB Assy, 1931-3-3, F3200 AS4428.1 MAF/PSU 6A",PA0874,1130.7254,
JCI 2025,,F3200 AS4428.1 Controller PCB No Software,PA0909,2559.913436,
JCI 2025,,F3200 MX4428 4U MEMBRANE OVERLAY ONLY,FA2150,228.590166,
JCI 2025,,F3200/F4000 4U Chassis & AS4428 Membrane Keyboard,ME0444,0,
JCI 2025,,PCB ASSY 1931-133 F3200 3A RECT. & 6A FET+RECT BDS COST,PA1030,353.792331,
JCI 2025,,F3200 DOOR SWITCH ASSEMBLY,SW0030,26.5225515,
JCI 2025,,MAIN SWITCH FOR F3200/F4000/MX4428,SW0121,23.7548385,
JCI 2025,,F4000 - Responders,,,
JCI 2025,,F4000 EOL002B Active EOL (pkt of 5) Also check stock of PA1008B EOL PCB only,FP0507-5,272.071101,
JCI 2025,,Empty ADR/MPR Box c/w Labels,FP0529,116.6356808,
JCI 2025,,F4000 ADR-M 4MA 15V MCP M614 1901-198,FP0755,562.025886,
JCI 2025,,F4000 Multi-Protocol Resp (MPR) 1901-141,FP0575,1600.286744,
JCI 2025,,F4000 Responder Relay Module (RRM) PCB Assembly 1901-15,PA0453,290.1103665,
JCI 2025,,F4000 IOR PCB 32 in/32 out 1901-72 (See IONET for Modules),PA0473,791.1646815,
JCI 2025,,F4000 Multi Prot Resp (MPR) PCB Assy 1901-141,PA0713,1057.733111,
JCI 2025,,F4000 ADR-M 4mA Detector Current PCB Assy Only 1901-116,PA0815,485.9629095,
JCI 2025,,ADR-M 2.5mA 3K3 EOL PCB 1901-200,PA0844,576.699678,
JCI 2025,,MX - Responders,,,
JCI 2025,,MXR Responder in Box,FP0824,1076.501153,
JCI 2025,,MX4428 ADR-M 4mA Detector Current 1901-198,FP0755,562.025886,
JCI 2025,,MXR Responder  ,PA0893,1059.559146,
JCI 2025,,F4000 - AS1603.4 Options,,,
JCI 2025,,Display Extender Kit Additional to FZ3031,FP0475,375.5000445,
JCI 2025,,Display Extender Kit - First 16 Zone LED's,FZ3031,309.721824,
JCI 2025,,"Kit, ASE, 3U 19"" Rack Mounting Front Panel",KT0199,177.4038525,
JCI 2025,,"19"" Rack LED Display Door (64 Zone)",ME0060,357.2233125,
JCI 2025,,F4000 RZDU/RS232 Interface PCB Assy 1901-100,PA0481,375.704757,
JCI 2025,,MX - AS4428 Options ,,,
JCI 2025,,Display Extender Kit Additional to FZ3031,FP0475,375.5000445,
JCI 2025,,F4000 AS4428 LCD V3.XX Upgrade Kit ALSO REQUIRES 1 x PA0482,FP0814,794.857695,
JCI 2025,,"F4000 AS4428 LCD Master, Old Cabinet Conversion Kit ALSO REQUIRES 1 x PA0482",FP0818,2162.664735,
JCI 2025,,"F4000 AS4428 LCD Master, 19"" Rack Conversion Kit ALSO REQUIRES 1 x PA0482",FP0820,2039.517884,
JCI 2025,,"F4000 AS4428 Network Upgrade Kit, V3.00",FP0827,574.6934955,
JCI 2025,,Display Extender Kit - First 16 Zone LED's,FZ3031,309.721824,
JCI 2025,,"Kit, ASE, 3U 19"" Rack Mounting Front Panel",KT0199,177.4038525,
JCI 2025,,"19"" Rack LED Display Door (64 Zone)",ME0060,357.2233125,
JCI 2025,,"MX4428 PSU, 240VAC, 24V, 2.5A Mains Socket Fitted (replaces FP0874)",ME0476,926.8808805,
JCI 2025,,F4000 - General Spares,,,
JCI 2025,,Cable Prog Port to 9 pin Serial 1888-58(F4000/MX4428 Programming Lead),LM0041,105.0338895,
JCI 2025,,Cable Prog Port to 25 Pin Serial 1888-62,LM0042,141.9177518,
JCI 2025,,F4000 Loop Booster  PCB Assy 1901-35,PA0463,1629.626139,
JCI 2025,,"F4000 Memory LCD Interface required when supplying FP0814, FP0818 or FP0820",PA0482,808.6716945,
JCI 2025,,"F4000(New Network Card) PCB 1901-139-3, RS485 Comms Bd, CMOS, FRC Only",PA0773,360.801687,
JCI 2025,,"FA1201, F4000 LCD Keyboard Overlay with Tape",SM0031,188.1799185,
JCI 2025,,MAIN SWITCH FOR F3200/F4000/MX4428,SW0121,23.7548385,
JCI 2025,,"PCB ASSY,1901-12,F4000 AS1603 BOARD SET Obsolete replace with -",PA1062,0,
JCI 2025,,PA1040S and upgrade software to MX4428,,,
JCI 2025,,F4000 - AS1603.4 Spares,,,
JCI 2025,,Cable Prog Port to 9 pin Serial 1888-58(F4000/MX4428 Programming Lead) ,LM0041,105.0338895,
JCI 2025,,Cable Prog Port to 25 Pin Serial 1888-62,LM0042,141.9177518,
JCI 2025,,F4000 - AS4428 Spares,,,
JCI 2025,,Cable Prog Port to 9 pin Serial 1888-58(F4000/MX4428 Programming Lead),LM0041,105.0338895,
JCI 2025,,Cable Prog Port to 25 Pin Serial 1888-62,LM0042,141.9177518,
JCI 2025,,"Mech Assy, 1901-219, F4000 AS4428 4U Keyboard Module",ME0355,1048.087058,
JCI 2025,,"PCB Assy, 1901-211-1, F4000 AS4428 LCD Keybaord Module",PA0890,887.060205,
JCI 2025,,"PCB Assy, 1901-210, F4000 68HC11 Micro Board",PA0906,220.270341,
JCI 2025,,"PCB Assy, 1901-12, F4000 AS4428 Main Board, No Software Fitted",PA0951,2309.779326,
JCI 2025,,F3200 MX4428 4U MEMBRANE OVERLAY ONLY,FA2150,228.590166,
JCI 2025,,"MX4428 Main Brd c/w Memory I/F board, software fitted spare PCB ",PA1040S,2854.5111,
JCI 2025,,"MX4428 PSU, 240VAC, 24V, 2.5A Mains Socket Fitted (replaces FP0874)",ME0476,926.8808805,
JCI 2025,,F4000 / MX4428 - Software,,,
JCI 2025,,"Software, PTM",SF0092,817.4973525,
JCI 2025,,"Software, F4000, MPR, V2.21 EPROM",SF0238,47.6488815,
JCI 2025,,MX4428MASTER s/ware V3.17(F200H/SUPGRADE),SF0307,1964.903422,
JCI 2025,,SOFTWARE MX4428 MASTER V3.22 N EPROM SET,SF0349,121.6401675,
JCI 2025,,SOFTWARE MX4428 SINGLE LOOP V3.21S EPROM SET,SF0350,159.5159198,
JCI 2025,,MX1 AS7240 Panels,,,
JCI 2025,,FP MX1 AUST VIGILANT 15U PANEL 3U ASE BRACKET ,FP0927,3358.23054,
JCI 2025,,FP MX1 AUST VIGILANT 15U PANEL 3U AIU/PPU BRACKET ,FP0928,3443.84208,
JCI 2025,,FP MX1 AUST VIGILANT 15U PANEL 3U BLANK ,FP0948,3128.316,
JCI 2025,,MX1 Aust 8U Panel 3U blank (fit brigade kit separately),FP1040,3215.525688,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U CENTAUR ASE",FP1150,3990.54033,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U Cube/WA ASE ",FP1151,4252.86897,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U CENTAUR ASE, 2 x 1668 Fan Controls",FP1152,4699.339208,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U Cube/WA ASE , 2 x 1668 Fan Controls",FP1153,4680.81852,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U CENTAUR ASE, 1 x FP1115 T-GEN 60 AMP Only (No User Interface),",FP1154,4856.19456,
JCI 2025,,"MX1 Aust 15U Panel C/W 2 MX loops, 3U Cube/WA ASE, 1 x FP1115 T-GEN 60 AMP Only (No User Interface),",FP1155,4989.30558,
JCI 2025,,"MX1 GAS panel 15U C/W 3U Gas dr, 1 Gas Zone cntrl & interface ",FP1164,5015.45625,
JCI 2025,,MX1 1 loop 5A PSU 3U/4U Blanks 40U Glass Dr Left Hinge,FZB000,8560.845,
JCI 2025,,MX1 1 loop 5A PSU 3U/4U Blanks 28U Glass Dr Left Hinge,FZS000,8245.665,
JCI 2025,,MX1 Options,,,
JCI 2025,,MX1 Loop Card Kit,FP0950,796.300725,
JCI 2025,,MX1 16 Zone LED Display Extender,FP1002,228.180741,
JCI 2025,,MX1 4U LED Display Door - To display up to 5 x MX1 display Modules,ME0457,333.157311,
JCI 2025,,MX1 loop card/mx module mounting bracket c/w mtg hardware,FP1027,59.33109,
JCI 2025,,MX1 DIN MODULE MTG BRKT C/W SCREWS will mount MOXA switch or  2 x Ethernet extenders,FP1012,237.6312743,
JCI 2025,,Mounting Bracket and Looms  to mount 2 x OSD modems,FP1032,411.0627,
JCI 2025,,MX1 4U Rack Remote FBP,FP0996,1424.430518,
JCI 2025,,MX1 Remote Fire Brigade Panel - RS485,FP0991,1915.437543,
JCI 2025,,MX Module Mounting Bracket,FP1027,59.33109,
JCI 2025,,MX1 Battery Box 8U X 180mm (Titania),FP1029,795.7094535,
JCI 2025,,MX1 Empty Cabinet 15U X 180mm Window (Titania),FP1030,855.70443,
JCI 2025,,MX1 Empty Cabinet 15U X 180mm Blank Door (Titania),FP1031,798.2067915,
JCI 2025,,3U Gas Control Door Assembly (1 Zone),FP1165,998.997,
JCI 2025,,2nd and 3rd Gas Control zones for FP1165,FP1166,173.8125,
JCI 2025,,3U WA/CUBE ASE Mounting bracket & loom,FZ9028,278.6245275,
JCI 2025,,3U CENTAUR ASE Mounting bracket,KT0199,177.4038525,
JCI 2025,,MX1 GEAR PLATE,FA2454,192.1595295,
JCI 2025,,MX1 8U GEAR PLATE (N),FA2593,195.885297,
JCI 2025,,"850EMT Yellow Engineer Manager Tool with case, charger and leads (Kit)",850EMTK,1530.127676,
JCI 2025,,850EMT Ancillary programming lead,516.800.922,96.01557,
JCI 2025,,850EMT Ancillary programming lead pins pack of 10,516.800.924,88.9680525,
JCI 2025,,MX1 Spares,,,
JCI 2025,,MX1 Keyboard PCB Assembly ,PA1057,498.02457,
JCI 2025,,MX1 CONTROLLER (ENHANCED),PA1081SAU,998.83323,
JCI 2025,,MX1 Power Supply Assembly,ME0448,670.9247475,
JCI 2025,,MX1 4U Door c/w Membrane fitted,ME0464,503.3552835,
JCI 2025,,MX1 4U LCD Door Complete ,ME0465,1248.541538,
JCI 2025,,MX1 15U WINDOW DOOR ONLY c/w MCP BLANK TITANIA                                                                                                                ,ME0503,385.6046535,
